content,subject
Congratulations! You have been selected to receive a free luxury cruise! Click here to claim your prize: [link to malicious website],You Won a Free Cruise!
Congratulations! You've been selected to receive a free luxury cruise! Click here to claim your prize: [link removed to avoid triggering spam filters],Urgent! You've won a free cruise!"Urgent! Your Account Has Been Compromised!
Act now! Secure your account immediately to prevent unauthorized access. Click here to verify your account details.",Urgent! Your Account Has Been Compromised!
Your account has been compromised! Click here to secure your account immediately: [malicious link],Urgent Security Alert!
Congratulations! You've won a free $100 Amazon gift card. Click here to claim it now: [invalid URL],Claim Your Free Amazon Gift Card Now!
"Congratulations! You've been selected to receive a $1,000,000 prize! Click here to claim: [invalid link]",You've Won! Claim Your Prize Now!
Congratulations! You've won a free luxury cruise! Claim your prize now! Click here: [invalid link],You've Won a Free Cruise!
Subject:Urgent! Your package is delayed! Claim your compensation now!,Urgent! Your package is delayed! Claim your compensation now!
Congratulations! You've won a free cruise!,Congratulations! You've won a free cruise!
Urgent: Claim Your Prize!::Congratulations! You have won a free cruise! Claim your prize now!,Urgent: Claim Your Prize!
You've Won a Free Cruise! Congratulations! You've won a free 7-day Caribbean cruise! Claim your prize by clicking here: [link removed],Urgent! You Won!
Claim your mystery package now! Click here: [link removed]",Urgent! Your Package Awaits!
Congratulations! You've won a free cruise to the Caribbean! Claim your prize now!  Click here: [invalid URL],You've Won a Free Cruise!
Claim your free Viagra today! Limited time offer! Click here: [link removed for security],Free Viagra Now!!!
"Your package is delayed, please click here to update your shipping information.",Package Delay Notification
"You've Won a Free Cruise!,Claim your free luxury cruise now! Click here: [link]",You've Won a Free Cruise!
Claim your free luxury cruise to the Caribbean! Click here: [invalid URL],Congratulations! You've Won a Free Cruise!
Congratulations! You've won a free Caribbean cruise! Click here to claim: [invalid link],Urgent! Claim your Free Cruise Now!
Your package is delayed! Click here to reschedule delivery: [malicious link],Urgent! Your Package is Delayed!
Click here to secure your account immediately!  [link removed]",Urgent! Account Update Required!
"You've Won a Free iPad!,Claim your prize now! Click here: [invalid link]",You've Won a Free iPad!
Congratulations! You've been selected to receive a free luxury cruise! Claim your prize now! [link],You've Won a Free Cruise!
Congratulations! You've been selected to receive a FREE luxury cruise! Claim your prize now: [link],Urgent! You've Won a Free Cruise!
Urgent! You've won a free cruise!,Click here to claim your prize: [link]
Your package is delayed due to unforeseen circumstances. Click here to track: [invalid link],Urgent! Your package is delayed!
Your account has been compromised! Click here to update your password now to prevent further issues: [link],Urgent Security Alert: Action Required Immediately!
Your package is delayed due to unforeseen circumstances.  Click here to track: [link],Urgent! Your Package is Delayed!
Congratulations! You've been selected to receive a free luxury cruise. Claim your prize now! [link],You've Won a Free Cruise!
Your account activity has triggered a security alert. Please verify your details immediately to avoid suspension: [link],Urgent Account Update Required!
Your package is delayed due to unforeseen circumstances. Please click here to update your shipping information: [invalid link],Urgent! Your package is delayed!
"Congratulations! You've won $1,000,000! Click here to claim your prize before it's too late!","Claim Your $1,000,000 Prize Now!"
Claim your free gift card now! Click here: [link]",Urgent! Your package is delayed!
Claim your free Viagra now! Click here: [invalid URL],Free Viagra Now!!!
You've won a free cruise! Claim now!,Congratulations! You're a Winner!
Congratulations! You've won a free luxury cruise to the Caribbean! Click here to claim your prize: [invalid URL],You've Won a Free Cruise!
Congratulations! You've won a free iPad! Claim your prize now: [link],You Won an iPad!
Congratulations! You've won a free luxury cruise! Claim your prize now: www.example.com,You've Won a Free Cruise!
Congratulations! You've won a free cruise! Claim your prize now: [link],You've Won a Free Cruise!
Your account requires immediate attention.  Click here to update: [invalid URL],Urgent Account Update Required
Claim your free luxury cruise vacation now!  Click here: [invalid URL],Congratulations! You've Won a Free Cruise!
"Congratulations! You've won $1,000,000! Claim your prize now at [fake link]",You Won!
Claim your package now! click here to continue! [link],Your package is waiting! claim now!
Your package is delayed due to unforeseen circumstances.  Click here to reschedule delivery: [link],Urgent! Your package is delayed!
"Congratulations! You've won a free $1000 gift card! Click here to claim your prize before it expires! (This is a scam, don't click!)",Urgent! Claim Your Free Gift Card Now!
""Important Account Update Required"",""Please verify your account details immediately to avoid service interruption. Click here: [invalid URL]""
Congratulations! You've won a free cruise to the Bahamas! Claim your prize now: [link],Urgent: You've Won!
Congratulations! You've won a free gift. Claim it here: [link],Claim Your Free Gift Now!
""You Won a Free Cruise!"",""Congratulations! You've won a free cruise! Claim your prize now! [link]""
"Congratulations! You've Won a Free iPad!,Claim your prize now! Click here: [link]",You won!
Congratulations! You've won a FREE cruise! Claim your prize now: [link],Urgent! Claim your FREE prize now!
Congratulations! You've won a free cruise! Claim your prize now!  Click here: [invalid URL],You Won a Free Cruise!
"You've Won a Free Vacation!,Claim your free tropical getaway now! Click here: [malicious link]",You've Won a Free Vacation!
Claim your free gift card now! Click here: [link removed],Your Package Awaits!
You've won a free cruise! Claim your prize before it's too late! Click here: [invalid URL],Urgent! Claim Your Prize Now!
Click here to update your shipping information immediately!  [link removed for security],Urgent! Your Package is Delayed!
You've won a FREE iPad! Claim it now at [fake_link]!,FREE iPad!
Congratulations! You've won a free cruise to the Bahamas. Claim your prize now! Click here: [invalid URL],You've Won a Free Cruise!
Your account is at risk! Update your information immediately to avoid suspension. Click here: [link],Urgent Account Update Required!
You've won a free cruise! Click here to claim your prize before it's gone! [link],Urgent! Claim Your Prize Now!
Congratulations! You've won a luxury vacation! Click here to claim your prize: [link removed for security],Urgent! Claim Your Free Prize Now!
"Urgent! Your Package is Delayed!,Click here to update your shipping information immediately!",Urgent! Your Package is Delayed!
Claim your prize now! Click here: [invalid URL],You've Won a Free Cruise!
Claim your free luxury cruise now before it's too late! Limited time offer. Click here: [invalid URL],You've Won a Free Cruise!
Claim your prize now!  Click here: [link to malicious website]",You've Won a Free iPad!
Click here to update your shipping address and avoid further delays!,Urgent! Your package is delayed!
Congratulations! You've won a free luxury cruise. Claim your prize now!  Click here: [invalid link],You've Won a Free Cruise!
Your recent order (#[Order Number]) is delayed. Track it here: [Fake Tracking Link],Urgent! Your package is delayed!
Congratulations! You've won a free cruise! Claim your prize now!,You've Won A Free Cruise!
Congratulations! You've won a $100 gift card! Click here to claim: [invalid URL],Urgent! Claim Your Free Gift Card Now!
Click here to secure your account before it's too late!  Limited time offer!",Urgent: Your Account Needs Immediate Attention!
Your package is delayed due to unforeseen circumstances.  Please update your shipping information here: [malicious link],Urgent: Your Package is Delayed!
Your account requires immediate verification to avoid suspension.  Click here: [invalid link] to verify.,Urgent: Account Verification Required
Congratulations! You've won a free Gift Card! Claim it now at http://example.com! Don't miss out!,Urgent! Claim Your Free Gift Card!
Congratulations! You've won a free cruise! Claim your prize now: [link],Urgent! Claim Your Prize!
Congratulations! You've been selected to receive a free luxury cruise. Claim your prize now! Click here: [invalid URL],You've Won a Free Cruise!
Claim Your Free iPad Now!,Your Free iPad Awaits!
Your package is delayed! Click here to reschedule delivery: [link],Urgent! Your Package Awaits!
You've won a free cruise! Claim your prize here: [invalid URL],Urgent! Claim your prize now!
Your account has been compromised! Click here to secure it now!,Urgent Security Alert!
Click here to secure your account immediately!  [link]",Urgent! Your Account Has Been Compromised!
"Urgent! Your package is awaiting delivery!,Claim your free gift card now before it expires! Click here: [invalid URL]",Urgent! Your package is awaiting delivery!
Urgent action required! Verify your account details immediately to prevent suspension: [link],Your Account is at Risk!
Congratulations! You've won a free cruise! Claim your prize now: [link],You've Won a Free Cruise!
Congratulations! You've won a free $100 gift card! Claim it here: [invalid link],Claim Your Free Gift Card Now!
"Urgent! Claim Your Free $10,000 Prize!,Congratulations! You've won a $10,000 prize! Click here to claim: [invalid URL]","Urgent! Claim Your Free $10,000 Prize!"
Congratulations! You've won a free cruise to the Caribbean! Claim your prize now: [link],You've Won a Free Cruise!
Subject:You've Won A Free Cruise!; Body:Claim your prize now before it's gone!,You've Won A Free Cruise!
Congratulations! You've won a $100 gift card! Click here to claim: [link removed for safety],Claim Your Free Gift Card Now!
Congratulations! You've been selected to receive a FREE iPhone 15. Claim it now before it's gone! [link],Claim Your Free iPhone 15!
Claim your prize now! Click here: [invalid link],Congratulations! You've Won a Free iPad!
Your account has been flagged for unusual activity. Please verify your details immediately at [link]. Failure to do so will result in account suspension.,Urgent! Your Account Requires Immediate Attention!
